loan_id,loan_type,approved_amount,interest_rate,start_date
LNK-25267,Fixed Purchase,96537.71,5.588,2024-04-23
LNK-26105,FIXED REFINANCE,294218.76,4.532,2021-03-10
LNK-29361,Refinance,137065.97,6.565,2019-08-10
LNK-97810,Fixed Refinance,329779.89,3.950,05/30/2024
LNK-64464,Fixed Purchase,201703.01,6.949,02/07/2019
LNK-37241,Jumbo Purchase,139542.10,7.484,
LNK-95972,ARM,535288.15,3.455,2024-04-24
LNK-78278,Fixed Purchase,609448.07,6.331,2020-08-31
LNK-69765,ARM,103186.16,4.908,2025-09-07
LNK-79222,Refinance,285823.83,6.581,2026-05-21
LNK-38093,ARM,522734.41,5.440,2023-12-29
LNK-14176,Fixed Purchase,129210.79,6.659,2024-09-18
LNK-26443,Refinance,613231.89,6.175,2020-01-23
LNK-39829,Fixed Purchase,344042.44,5.636,2025-05-29
LNK-30816,ARM,466865.96,5.089,2023-07-19
LNK-48301,Fixed Purchase,382492.19,7.283,2024-06-24
LNK-24519,Jumbo Purchase,373355.26,6.585,2021-04-29
LNK-40618, Jumbo Purchase ,181655.33,4.533,2025-03-22
LNK-2854, Fixed Purchase ,105941.59,6.589,2019-12-26
LNK-93801,Jumbo Purchase,103727.82,5.952,2023-01-29
LNK-17591,Fixed Purchase,607750.16,4.830,07/09/2019
LNK-36954,Refinance,503798.98,5.180,2025-06-21
LNK-6965,Fixed Purchase,572268.99,6.387,2024-09-22
LNK-8146,Fixed Purchase,523573.36,4.568,2022-05-12
LNK-73529,FIXED PURCHASE,156801.28,6.324,2022-02-10
LNK-39290,Refinance,124782.42,4.927,2020-10-30
LNK-92411,Fixed Purchase,220985.98,6.771,2025-01-04
LNK-17551,Refinance,"$229,128.83",5.982,03/05/2023
LNK-84606,Refinance,358613.68,6.686,2022-07-19
LNK-99669,ARM,98861.78,3.387,2020-05-25
LNK-65340,Refinance,302627.98,3.756,2022-09-28
LNK-14446,Fixed Purchase,511982.09,4.176,2021-06-29
LNK-2607,Fixed Purchase,580215.19,6.918,2022-06-09
LNK-76243,Fixed Refinance,136114.20,5.689,03/01/2022
LNK-38268,Refinance,564665.08,7.186,2023-05-15
LNK-62524,Fixed Refinance,447629.36,5.607,2023-07-08
LNK-63746,Fixed Purchase,90081.15,4.426,2020-06-01
LNK-58733,Refinance,228042.90,5.957,02/25/2023
LNK-45657,Fixed Purchase,410656.10,4.547,2022-12-20
LNK-25164,Refinance,232565.29,7.167,2021-07-26
LNK-7734,Jumbo Purchase,591888.24,5.110,2020-01-05
LNK-34092,Fixed Purchase,213419.66,6.253,2019-12-13
LNK-63616,Refinance,348675.04,7.249,2023-10-03
LNK-15953,FHA Purchase,157989.18,6.730,2024-12-20
LNK-9564,ARM,414713.33,5.860,2023-10-07
LNK-53521,Fixed Refinance,215661.04,7.203,2024-12-03
LNK-65454,Fixed Purchase,325028.84,7.796,2024-11-14
LNK-10710,Fixed Purchase,281372.25,5.287,2019-07-28
LNK-76631,ARM,284706.78,6.482,2021-10-20
LNK-83502,Jumbo Purchase,543926.30,5.852,2021-12-20
LNK-90974,Fixed Refinance,389330.44,4.619,2026-03-18
LNK-8026,Jumbo Purchase,585446.70,7.440%,2019-08-24
LNK-20887,Refinance,260775.21,3.421,2021-02-01
LNK-20555,Fixed Purchase,315480.04,6.052,2020-09-21
LNK-74772,Jumbo Purchase,88697.09,4.838%,2024-04-11
LNK-40824,Fixed Purchase,314162.69,7.280,2020-03-21
LNK-12164,Refinance,320055.83,6.388,2019-01-24
LNK-33530,Jumbo Purchase,191178.57,3.925,06/05/2023
LNK-16525,ARM,101909.50,6.609,2021-12-24
LNK-74147,ARM,350128.66,3.572,2023-06-26
LNK-55548,FHA Purchase,536038.66,4.227,2020-03-17
LNK-80471,Fixed Purchase,1197550.13,3.976,2022-11-02
LNK-79135,Refinance,89295.46,4.529,12/05/2019
LNK-82057,Fixed Purchase,166585.21,4.835,2020-04-16
LNK-30581,FHA Purchase,217334.59,4.613%,2020-02-27
LNK-69494,Refinance,181935.71,5.765,2026-02-11
LNK-50856,Fixed Purchase,299686.49,4.586,2020-08-21
LNK-60049,Refinance,975837.75,4.626,2026-02-07
LNK-59028,Fixed Purchase,312950.58,5.608%,2019-07-31
LNK-39974,Fixed Purchase,235097.43,5.569,2022-08-03
LNK-78139,Fixed Purchase,85286.72,5.149,2022-03-14
LNK-57207,Jumbo Purchase,138907.51,7.875,2023-01-29
LNK-41026,Fixed Purchase,442886.93,7.102,2020-06-17
LNK-75531,Fixed Refinance,278340.96,5.515,2023-03-03
LNK-82399,Fixed Purchase,397615.06,4.213,2026-01-22
LNK-8894,Fixed Purchase,398810.38,6.596,02/19/2021
LNK-80905,ARM,137771.01,5.390,2022-05-19
LNK-98004,FHA Purchase,193069.53,3.941,2021-02-24
LNK-14006,Fixed Refinance,561998.86,6.784,2025-04-14
LNK-28235,Jumbo Purchase,324937.99,7.712,2019-10-05
LNK-82987,Refinance,594557.66,4.068,2022-01-27
LNK-28659,Fixed Purchase,109313.20,7.206,2021-02-18
LNK-35687,ARM,451311.44,6.695,2020-11-08
LNK-87563,Refinance,385936.75,5.829,2021-04-27
LNK-11641,Fixed Purchase,201527.13,7.574,2024-10-01
LNK-21585,Fixed Refinance,365914.16,4.281,2022-01-04
LNK-32439,Fixed Purchase,109402.67,3.920,2020-08-29
LNK-23782,Fixed Purchase,"$156,139.70",3.974,2021-10-16
LNK-73350,FIXED PURCHASE,147158.89,6.502,2023-02-20
LNK-10838,FHA Purchase,557932.72,4.331,2025-11-09
LNK-21517,FHA Purchase,934386.52,6.928,2022-02-19
LNK-1350,FHA Purchase,372502.95,7.135,2025-07-17
LNK-54545,Fixed Refinance,289359.82,6.880,2026-02-11
LNK-60048,Fixed Purchase,32168.92,4.637,2026-01-23
LNK-91357,Fixed Refinance,168268.19,6.305,2023-02-18
LNK-78832,ARM,350339.23,6.118,2020-12-22
LNK-62592,ARM,475271.80,3.178,2020-10-29
LNK-39175,Fixed Refinance,452741.25,3.974,2023-10-13
LNK-5278,Jumbo Purchase,604156.22,6.041,2019-02-18
LNK-31340,ARM,96083.01,0.0592,2026-03-24
LNK-38762,Fixed Purchase,497012.93,7.833,2025-09-22
LNK-93662,FHA Purchase,597325.46,6.952,2022-10-18
LNK-38056,Fixed Purchase,159488.10,7.632,2020-10-30
LNK-93141,ARM,215437.74,4.090,2025-02-04
LNK-60510,Jumbo Purchase,140006.19,5.975,2023-08-29
LNK-10329,Jumbo Purchase,97840.47,4.391,2026-05-08
LNK-91096,FHA Purchase,451163.35,6.860,2020-04-05
LNK-31595,FHA Purchase,205119.51,4.976,2019-11-09
LNK-35675,Fixed Purchase,578975.99,7.646,2025-10-12
LNK-82927,ARM,264141.57,4.673,2022-05-20
LNK-78304,Fixed Purchase,553340.16,5.922,2023-02-20
LNK-87662,Fixed Refinance,465549.07,3.409,2020-08-31
LNK-26928,Fixed Purchase,164062.40,7.216,2024-05-13
LNK-56723,Fixed Purchase,313687.44,4.379,2022-08-16
LNK-16043,Fixed Purchase,290984.31,5.594,2023-08-23
LNK-72376,Refinance,158948.38,7.086,2023-04-19
LNK-30466,ARM,370567.30,6.139,2023-04-25
LNK-85886,Fixed Refinance,366916.08,6.645,2021-06-17
LNK-20528,Fixed Purchase,86533.37,3.825,2025-04-06
LNK-35816,Fixed Purchase,143933.63,5.320,2020-07-24
LNK-19643,Fixed Purchase,541522.03,7.721,2021-09-20
LNK-10359,Fixed Purchase,484642.52,6.777,2020-08-09
LNK-8816,Fixed Purchase,601228.56,6.801,2025-07-10
LNK-22747,Jumbo Purchase,942195.37,4.094,2019-11-12
LNK-41319,Jumbo Purchase,307824.76,5.793,2020-07-27
LNK-78993,Refinance,245236.62,4.749,2026-03-26
LNK-99167,Fixed Purchase,168399.72,3.890,2020-12-11
LNK-75607,Fixed Purchase,530483.85,7.560,2025-03-19
LNK-38828,Fixed Purchase,391054.85,4.739,2020-10-04
LNK-58560,Fixed Purchase,286994.75,6.983,2023-06-29
LNK-17299,Fixed Purchase,183276.17,6.183,2019-11-13
LNK-62433,ARM,252556.47,6.161,2020-11-06
LNK-91266, ARM ,311958.71,3.486,2023-01-25
LNK-40857,Jumbo Purchase,"$100,006.14",6.106,2019-09-25
LNK-92715,Fixed Purchase,571682.55,4.628,2019-05-13
LNK-53757,Fixed Purchase,1439195.18,5.855,07/16/2019
LNK-36683,FHA Purchase,89536.12,4.978,2023-06-19
LNK-66597,Fixed Purchase,293993.10,4.313,2020-02-03
LNK-71776,Jumbo Purchase,354414.45,7.122,2019-04-08
LNK-65722,ARM,398701.64,4.173,2020-09-12
LNK-58377,Fixed Purchase,419884.71,4.757,2021-06-02
LNK-11543,Refinance,496321.76,7.255,2024-10-15
LNK-79385,Refinance,364958.59,5.190,2020-06-21
LNK-6224,ARM,542934.62,6.396,2023-05-07
LNK-57626,FHA Purchase,409679.22,6.216,2024-07-30
LNK-97276,Fixed Purchase,494979.76,7.524,2019-12-24
LNK-43247,ARM,175798.94,3.352%,2025-06-19
LNK-80129,Fixed Purchase,180864.65,4.872,2024-04-22
LNK-33816,Fixed Refinance,321494.28,7.159,2025-05-18
LNK-4390,ARM,"$238,344.41",5.393,2020-06-12
LNK-12970,Refinance,419178.07,3.734,2023-08-20
LNK-31005,Fixed Purchase,553412.00,6.450,2026-03-22
LNK-89381,Fixed Refinance,459363.73,4.018,2020-03-07
LNK-76392,Fixed Purchase,298615.02,5.439,2024-03-08
LNK-77955,ARM,335641.45,6.128,2020-03-22
LNK-3719,Fixed Refinance,575841.29,6.473,2021-03-28
LNK-89117,Fixed Purchase,268196.60,0.0467,2024-05-04
LNK-36325,ARM,376618.45,3.638,2021-05-24
LNK-76529,Fixed Purchase,406576.42,7.824,2023-01-20
LNK-6273,FHA Purchase,199180.14,3.850,2023-09-29
LNK-23962,Refinance,129721.34,5.020,2022-05-06
LNK-62669,ARM,309551.20,6.404,2021-01-23
LNK-69021,Fixed Purchase,567378.33,7.026,2020-11-04
LNK-86394,FHA Purchase,342669.51,7.160,2023-11-25
LNK-58963,Refinance,1276457.90,5.789,2019-11-15
LNK-37458, Refinance ,162370.22,6.694,2022-07-20
LNK-24788,Jumbo Purchase,584593.38,5.126,2023-07-23
LNK-77720,Fixed Refinance,613707.65,0.0683,2026-02-11
LNK-58132,FHA Purchase,137133.64,8.009,2023-09-18
LNK-84202,Fixed Refinance,406504.70,4.239,2021-02-21
LNK-65451,Refinance,92688.49,3.465,2022-06-11
LNK-12959,Jumbo Purchase,459134.67,5.734,2023-08-08
LNK-62605,Jumbo Purchase,312829.32,5.211,2020-12-21
LNK-46607,ARM,380723.16,4.713,2022-03-13
LNK-54523,Refinance,319059.11,5.882,2020-02-11
LNK-44687,Fixed Refinance,140539.44,5.865,2023-08-12
LNK-43081,Fixed Refinance,"$418,746.74",5.934,2024-08-23
LNK-88835,Fixed Purchase,240098.89,4.720,2024-02-06
LNK-14710,Fixed Purchase,543143.31,5.275,2024-03-15
LNK-22079,Jumbo Purchase,"$461,551.70",3.783,2023-03-15
LNK-44228,Refinance,228170.89,0.0463,08/26/2023
LNK-54955,Fixed Purchase,670997.45,7.189,2024-10-26
LNK-91921,Refinance,264273.12,7.371,2021-09-17
LNK-65942,ARM,414703.34,3.291%,2025-06-24
LNK-38777,FHA Purchase,293870.26,5.504,2022-07-27
LNK-87846,ARM,138274.19,4.966,2026-01-30
LNK-53488,ARM,492761.95,6.198,2020-10-13
LNK-73102,Fixed Purchase,134896.99,6.486,2025-08-27
LNK-5809,Refinance,375864.78,5.687,2019-04-14
LNK-60614,Fixed Purchase,327732.85,5.308,2021-09-08
LNK-12542,Fixed Purchase,188698.47,6.909,2023-03-29
LNK-42224,Refinance,232106.18,5.910,2026-02-27
LNK-34082,Jumbo Purchase,144348.36,4.284,2020-08-03
LNK-43372,Jumbo Purchase,134635.77,5.322,2021-05-01
LNK-16194,ARM,96746.98,6.649%,2019-11-09
LNK-53976,ARM,560996.73,4.768,2020-10-21
LNK-68449,Fixed Purchase,180592.23,6.389,2019-05-09
LNK-1150,ARM,270529.29,5.320,2019-01-21
LNK-87200,Fixed Refinance,580722.00,3.518,2019-04-05
LNK-72118,Fixed Refinance,200723.99,6.994,2019-05-01
LNK-61552,Fixed Purchase,474342.99,4.914%,2024-05-26
LNK-55165,Fixed Purchase,463824.71,5.782,2024-07-23
LNK-8104,FHA Purchase,578456.23,4.611,2022-02-25
LNK-25586,Fixed Purchase,509336.98,4.471%,2021-04-23
LNK-68952,ARM,557328.67,5.864,2022-07-29
LNK-48419,Refinance,314682.44,4.896,2026-02-04
LNK-82609,ARM,560855.58,4.036,2023-08-06
LNK-66338,Jumbo Purchase,430127.41,5.282,2019-05-03
LNK-82973,Fixed Refinance,314721.94,4.381,2021-05-31
LNK-58939,ARM,502040.29,4.279%,2019-02-14
LNK-7764,Fixed Purchase,388596.05,4.762,2019-09-29
LNK-27680,Refinance,"$367,085.36",4.512,2025-10-25
LNK-36003,Fixed Refinance,444169.56,5.985,2023-11-18
LNK-72987,ARM,190460.94,4.945,2022-01-29
LNK-18172,Fixed Purchase,176559.76,5.415,2025-06-18
LNK-38752,Fixed Purchase,504068.52,3.770,03/06/2024
LNK-58424,Jumbo Purchase,300503.77,7.743,2019-06-10
LNK-92521,Fixed Purchase,336392.94,5.556,2022-05-17
LNK-64532,Fixed Refinance,299184.22,4.653,2025-11-13
LNK-16915,Fixed Purchase,611422.26,6.539,2020-05-12
LNK-4783,FHA Purchase,139967.83,7.341,2020-07-22
LNK-83578,ARM,452865.42,3.730,2021-02-21
LNK-80806,Fixed Refinance,521638.98,3.420,2019-08-04
LNK-32365,FIXED REFINANCE,144279.92,3.700,2022-09-10
LNK-94032,Fixed Refinance,288062.71,7.099,2025-07-17
LNK-21758,Fixed Purchase,546113.77,7.612,2023-08-20
LNK-41730,Refinance,364143.58,5.312,2024-06-30
LNK-73199,ARM,476012.55,4.076,2022-04-28
LNK-2792,ARM,532015.02,5.494,2021-04-23
LNK-73384,Fixed Purchase,349614.08,6.667,2024-04-01
LNK-54476,Fixed Purchase,140926.07,6.319,2024-12-01
LNK-13217,Fixed Purchase,590244.03,6.601,2024-08-28
LNK-15871,Fixed Purchase,575433.03,5.718,2025-12-16
LNK-61482,Fixed Refinance,185555.11,4.057,2022-06-12
LNK-16396,Refinance,139604.43,3.829,
LNK-85896,Jumbo Purchase,1179508.40,5.719,2021-12-23
LNK-21181,Refinance,274618.36,4.988,2023-10-31
LNK-66323,Fixed Purchase,230835.04,6.572%,2023-09-27
LNK-94926,Fixed Purchase,179505.13,6.392,2024-10-25
LNK-39254,Refinance,430794.50,4.278,2019-08-06
LNK-67698,Refinance,212740.42,4.502,2025-12-15
LNK-93459,ARM,295193.70,6.149,2022-01-03
LNK-36838,Fixed Purchase,193912.88,6.820,03/25/2022
LNK-55459,Fixed Purchase,354233.48,5.824,2022-06-04
LNK-64242,Refinance,176074.43,4.067,2022-09-22
LNK-62894,Fixed Purchase,"$91,813.13",5.203,2020-12-28
LNK-32946,Jumbo Purchase,176337.94,3.792%,2022-12-13
LNK-60871,Refinance,346244.43,3.838,2019-03-13
LNK-73255,FHA Purchase,531917.08,4.478,2020-08-23
LNK-19958,Fixed Purchase,515082.55,5.884,2022-12-07
LNK-51277,Fixed Purchase,345273.92,3.809,2022-12-15
LNK-25983,ARM,362039.61,6.301,2025-09-06
LNK-79561,Fixed Purchase,36230.26,4.393,2023-08-08
LNK-67616,Refinance,160773.72,4.377,2023-10-31
LNK-98818,Fixed Refinance,88705.53,5.955,01/26/2022
LNK-18892,Refinance,566083.44,7.233,2024-11-28
LNK-10150,Jumbo Purchase,271632.11,6.313,2022-02-05
LNK-37208,Fixed Purchase,363241.59,6.414,2023-11-11
LNK-55387,Refinance,509001.18,3.841,02/04/2019
LNK-45548,Refinance,334479.85,7.267,2025-12-30
LNK-67550,Fixed Purchase,345451.27,5.032,2024-02-03
LNK-36018,Fixed Purchase,894657.20,5.622,2026-05-28
LNK-1336,Fixed Purchase,"$158,679.55",7.166,08/18/2024
LNK-38072,Fixed Refinance,167944.80,4.483,2021-03-16
LNK-96164, Jumbo Purchase ,1396347.81,4.832,2026-02-22
LNK-40132,ARM,568727.11,6.505,2025-09-11
LNK-77931,Refinance,448223.92,5.713,2021-03-28
LNK-77011,ARM,191744.90,4.200,2026-01-17
LNK-87499,Fixed Purchase,503587.07,4.168,2024-11-26
LNK-65178,Fixed Purchase,585160.70,5.787,2023-10-18
LNK-20476,FHA Purchase,331786.93,3.865,2023-09-21
LNK-59529,FIXED PURCHASE,570164.10,6.274,2023-03-09
LNK-71592,Refinance,387582.41,6.421,2023-05-28
LNK-64483,Refinance,332602.18,5.472,2019-08-11
LNK-46236,Fixed Purchase,612602.83,0.0634,2022-04-05
LNK-44573,Refinance,547408.06,5.738,2024-09-23
LNK-73340,Fixed Purchase,"$194,709.48",6.971,2024-07-21
LNK-72228,Jumbo Purchase,427222.45,6.483,2019-01-27
LNK-50441,Refinance,192374.43,4.012,2020-05-10
LNK-60682,Fixed Purchase,105463.60,5.450,2020-05-13
LNK-43176,ARM,183463.51,6.237,2021-12-02
LNK-25727,Refinance,544732.93,5.129,2026-02-18
LNK-92422,Fixed Purchase,483360.19,5.975,2025-02-17
LNK-32300,ARM,239855.23,5.278,
LNK-75946,ARM,458244.20,4.643,2023-10-07
LNK-51196,Fixed Purchase,149267.68,6.275,2019-05-20
LNK-31613,Jumbo Purchase,1375646.75,7.938,2024-03-31
LNK-54841,ARM,"$89,879.23",4.952,2024-08-23
LNK-6720,Jumbo Purchase,365904.77,4.509,2020-09-12
LNK-42704,Fixed Refinance,266520.73,6.547,2022-02-14
LNK-98609,Refinance,579060.16,6.757,2024-06-04
LNK-93435,ARM,437549.92,6.531,2026-05-22
LNK-50968,Fixed Purchase,258380.99,5.264,2025-12-04
LNK-51604,Fixed Purchase,100794.19,4.758,2020-03-11
LNK-87991,Refinance,258157.77,6.487,2021-08-27
LNK-86461,Jumbo Purchase,474567.29,7.984,2019-09-21
LNK-20936,Fixed Purchase,105018.78,5.671,2023-03-14
LNK-65923,Jumbo Purchase,579099.70,6.789,2023-03-27
LNK-5852,Refinance,382710.50,5.364,2022-03-17
LNK-17547,Fixed Refinance,317223.71,6.560,2019-12-19
LNK-66836,Refinance,442732.16,6.640,2019-01-22
LNK-78356,ARM,377420.75,3.786,2026-03-15
LNK-44515,Fixed Purchase,195999.01,5.929,2022-12-31
LNK-14154,Refinance,158762.34,5.110,2023-03-21
LNK-58711,Refinance,153047.93,3.804,2024-08-04
LNK-14069,Refinance,262042.09,7.162,2021-10-26
LNK-69937,ARM,551756.76,4.166,2024-12-28
LNK-60890,Jumbo Purchase,583517.84,5.487,2019-08-21
LNK-3011,Jumbo Purchase,396783.29,8.034,2026-04-29
LNK-95692,ARM,224571.39,5.930,2020-07-24
LNK-19894,Fixed Refinance,261340.91,7.049,2019-09-13
LNK-54736,Fixed Purchase,592178.71,6.808,2019-05-25
LNK-86823,Fixed Purchase,307688.49,7.793,2025-03-08
LNK-21232,Fixed Purchase,471981.43,5.910,2021-07-11
LNK-10807,ARM,247328.82,6.694,2019-03-29
LNK-62537,Fixed Purchase,503275.07,6.395,2023-04-03
LNK-35737,Fixed Refinance,1262545.21,6.182,2023-10-27
LNK-45375,Refinance,146837.01,5.863,2023-02-15
LNK-82691,ARM,576166.69,3.440,2019-02-11
LNK-91794,Fixed Refinance,560259.41,5.672,2019-03-03
LNK-53098,Fixed Purchase,"$1,000,844.71",4.979%,2022-07-10
LNK-86175,Refinance,215670.72,5.824,2024-05-14
LNK-11527,Refinance,125862.16,4.223,2023-01-02
LNK-44065,Jumbo Purchase,322294.88,5.346,2025-03-08
LNK-89389,Refinance,366861.64,6.191,2024-08-24
LNK-70942,ARM,304796.11,4.899,2019-11-18
LNK-50808,Fixed Purchase,607127.05,6.977,2021-05-13
LNK-42505,FIXED REFINANCE,838084.20,5.161,2024-02-02
LNK-83155,Fixed Purchase,532433.99,6.309,2022-05-15
LNK-95203, Fixed Purchase ,234314.48,5.905,
LNK-64956,Fixed Purchase,195065.61,0.0563,2019-08-03
LNK-71912,Fixed Purchase,493203.03,7.709,2022-10-09
LNK-5705,Jumbo Purchase,518480.37,7.044,2022-10-28
LNK-81931,Refinance,548172.13,7.114,2019-08-22
LNK-9968,Refinance,594573.37,4.550,2024-12-30
LNK-31771,Refinance,389042.13,4.050,2023-04-11
LNK-83727,FHA Purchase,212451.39,4.971,2022-01-28
LNK-90705,Fixed Purchase,75400.44,5.467,2025-11-26
LNK-38667,Fixed Purchase,219024.60,7.106,2019-02-20
LNK-30817,Refinance,256729.32,4.115,2024-03-10
LNK-98880,FIXED PURCHASE,104797.01,6.524,2025-03-29
LNK-12846,Fixed Purchase,587276.33,6.405,2022-07-10
LNK-57881,ARM,223033.72,4.060,2024-07-20
LNK-13903,Refinance,163592.46,3.598,2020-04-13
LNK-84066,Fixed Purchase,356094.76,5.130,2025-03-16
LNK-93260,Fixed Purchase,467284.02,4.870,2022-12-18
LNK-14173,Fixed Purchase,210562.82,5.955,2020-04-08
LNK-59153,Fixed Purchase,259297.14,7.329,2023-08-31
LNK-22805,ARM,1135573.39,4.433,2023-07-30
LNK-91964,ARM,589226.56,3.215,2023-02-17
LNK-40251,FHA Purchase,1137230.52,7.265,2024-09-23
LNK-4794,Fixed Refinance,504154.92,7.160,2023-04-01
LNK-7028,Fixed Purchase,473548.97,8.091,2019-11-18
LNK-43516,FHA PURCHASE,615890.89,8.090,2026-01-25
LNK-8355,ARM,477179.43,5.053,2019-07-30
LNK-39452,Refinance,363379.76,4.180,06/14/2025
LNK-47984, Fixed Purchase ,215044.24,5.325,2024-02-11
LNK-50131,FHA Purchase,455794.13,7.916,2023-08-07
LNK-57450,ARM,355519.24,5.517,2025-10-14
LNK-20080,Fixed Refinance,207923.37,7.347,2025-01-11
LNK-33007,Jumbo Purchase,445646.24,6.384,2022-03-21
LNK-70621,Fixed Purchase,303548.99,4.396,2024-07-17
LNK-55008,Fixed Refinance,566431.77,3.462,2020-05-09
LNK-90364,Fixed Refinance,465589.30,3.804,2019-05-20
LNK-24600,Fixed Purchase,174310.57,5.990,2024-12-08
LNK-23280,Jumbo Purchase,274586.76,6.173,2022-04-16
LNK-23946,Jumbo Purchase,565619.33,6.432,2019-07-05
LNK-11350,FHA Purchase,593206.69,6.494,2023-11-20
LNK-80887,ARM,157013.96,5.934,2024-09-17
LNK-82226,Jumbo Purchase,402551.01,6.575,2023-04-03
LNK-90539,Fixed Purchase,471555.25,7.113,2021-08-09
LNK-32566, ARM ,386810.27,5.245,2023-10-14
LNK-66230,ARM,490155.61,3.255,2021-05-12
LNK-77435,Fixed Purchase,555577.30,5.261,2020-11-09
LNK-19758,Fixed Purchase,319820.46,5.005,2021-11-28
LNK-31433,Fixed Refinance,579615.98,3.964,2021-04-27
LNK-61443,Refinance,175336.04,3.559,2025-01-20
LNK-84611,Fixed Purchase,346275.75,5.358,2022-02-28
LNK-34289,Refinance,476667.84,6.724,2022-04-23
LNK-61236,Fixed Refinance,576763.26,6.956,2024-07-13
LNK-34466,Jumbo Purchase,616296.33,4.257,2022-12-19
LNK-88404,Fixed Refinance,"$204,006.35",4.027,2022-10-05
LNK-2231,REFINANCE,359371.60,6.227,2022-07-13
LNK-61981,Fixed Purchase,138734.76,6.018,02/18/2021
LNK-38700,Refinance,1157597.72,3.432,2020-07-14
LNK-89815,Jumbo Purchase,202812.11,5.795,2024-06-07
LNK-72643,Fixed Refinance,236190.83,0.0690,2024-10-15
LNK-21706,Fixed Refinance,86710.78,5.631,2021-05-04
LNK-10681,Fixed Purchase,453070.19,6.495,2021-08-19
LNK-58898,ARM,436463.42,4.210,2021-08-07
LNK-46293,Refinance,347268.76,5.791,2025-02-03
LNK-78014, Fixed Purchase ,145116.57,7.034,2022-03-22
LNK-40210,ARM,217357.00,3.752,2022-07-30
LNK-84746,ARM,297977.78,6.364,2024-06-26
LNK-56615,Refinance,100494.96,4.260,2023-08-03
LNK-91480,Fixed Refinance,224958.81,4.966,2023-12-16
LNK-33780,Fixed Purchase,114228.85,4.702,2026-02-19
LNK-60878,FIXED PURCHASE,304249.18,4.474,2021-04-24
LNK-40599,Fixed Purchase,603016.82,4.312,2025-01-19
LNK-27111,Fixed Refinance,514290.89,6.219,2022-12-15
LNK-51422,Refinance,435388.40,4.848,2021-03-23
LNK-64335,Jumbo Purchase,296606.56,5.012,2020-10-23
LNK-14979,ARM,200354.08,6.578,2019-05-28
LNK-32091,Fixed Refinance,366707.13,6.565,2019-06-23
LNK-50986,Fixed Purchase,208052.80,4.826,2022-01-20
LNK-75963,Fixed Refinance,287153.35,6.673,2022-01-10
LNK-48049,Fixed Purchase,354912.67,6.937,2019-03-24
LNK-76341,Jumbo Purchase,408606.45,6.951,2023-05-22
LNK-39780,Refinance,252021.49,5.449,04/06/2019
LNK-92655,ARM,138328.38,5.232,2023-03-23
LNK-39696,Fixed Purchase,602284.19,5.853,2024-12-24
LNK-3875,ARM,616337.37,6.620,2025-02-16
LNK-87275,ARM,1266964.63,4.754,2024-05-06
LNK-52879,Refinance,262852.98,7.303,2020-01-26
LNK-36976,Fixed Purchase,589019.90,4.115,2023-07-10
LNK-2061,ARM,471822.34,3.960,2024-07-14
LNK-90889,Fixed Purchase,265759.64,5.148,2025-05-04
LNK-98605,Jumbo Purchase,228457.52,6.196,2024-06-24
LNK-7428,Fixed Purchase,433824.61,6.834,2024-10-08
LNK-80482, Fixed Refinance ,477192.08,5.103,2019-11-14
LNK-98671,Fixed Refinance,171719.82,4.065,2023-11-28
LNK-66107,Fixed Purchase,"$558,744.02",6.474,2024-11-18
LNK-38512,Fixed Refinance,377690.50,4.587,2023-11-19
LNK-31162,Fixed Refinance,555921.01,4.690,03/03/2023
LNK-80569,Fixed Purchase,240255.28,7.242,2023-03-01
LNK-47179,Fixed Purchase,332640.89,7.783,2020-07-08
LNK-29705,Fixed Refinance,338520.67,4.117,2024-04-11
LNK-84442,FHA Purchase,251834.67,6.769,2025-01-11
LNK-25920,Fixed Purchase,419360.43,4.040,2026-02-19
LNK-82381,Fixed Purchase,421419.64,4.944,2023-10-12
LNK-33850,Fixed Purchase,419108.00,4.858,2025-01-25
LNK-89835,Fixed Purchase,402061.93,4.692,2020-12-31
LNK-95493,Fixed Purchase,511333.20,7.082,2022-09-14
LNK-87400,Jumbo Purchase,408554.74,6.957,2025-11-27
LNK-90241,ARM,174933.17,6.760,01/10/2020
LNK-18927,Refinance,161683.33,3.401,2019-11-15
LNK-83345,Fixed Purchase,358762.32,6.642,2022-09-01
LNK-13735,Fixed Refinance,213813.50,6.496,2024-04-27
LNK-83242,Jumbo Purchase,254579.98,6.383,2021-05-26
LNK-85717,FHA Purchase,530978.64,7.403,2025-04-14
LNK-6167,Refinance,219038.39,6.999,2026-04-24
LNK-41492,Fixed Purchase,280642.64,6.665,10/04/2023
LNK-58779,Refinance,618876.56,4.930,2021-01-03
LNK-5373,FHA Purchase,189772.31,4.598,2025-07-29
LNK-76965,Fixed Purchase,282344.07,7.759,2025-10-21
LNK-48823,Refinance,428295.62,7.383,2021-11-02
LNK-96991,Fixed Purchase,1224423.61,5.798,2025-10-24
LNK-18224,ARM,338294.90,5.877,2020-03-01
LNK-12813,Fixed Purchase,563431.85,6.952,2020-06-23
LNK-39680,Jumbo Purchase,148893.32,6.841,2022-07-11
LNK-43823,Refinance,"$611,120.83",5.856,2019-03-10
LNK-98973, Refinance ,566321.57,4.077,2025-07-31
LNK-55460,ARM,92581.60,4.641,2019-09-09
LNK-24021,Jumbo Purchase,353316.25,4.115,2023-12-22
LNK-27318,Refinance,453463.44,5.941,2019-01-14
